"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 30 00:10:30 NOVT 2022","Mon May 30 00:10:30 NOVT 2022","339","tests","test_search_page","TestSearchFromMainPage","","","test_if_at_page",""
"passed","Mon May 30 00:09:01 NOVT 2022","Mon May 30 00:09:01 NOVT 2022","808","tests","test_catalog_page","TestCatalogPage","","","test_view_list",""
"passed","Mon May 30 00:08:52 NOVT 2022","Mon May 30 00:08:53 NOVT 2022","980","tests","test_catalog_page","TestCatalogPage","","","test_menu[phones-phones]",""
"passed","Mon May 30 00:08:51 NOVT 2022","Mon May 30 00:08:52 NOVT 2022","954","tests","test_catalog_page","TestCatalogPage","","","test_menu[software-software]",""
"passed","Mon May 30 00:09:53 NOVT 2022","Mon May 30 00:09:54 NOVT 2022","909","tests","test_product_page","TestProductPage","","","test_add_product_to_shopping_cart",""
"passed","Mon May 30 00:08:40 NOVT 2022","Mon May 30 00:08:41 NOVT 2022","961","tests","test_catalog_page","TestCatalogPage","","","test_menu[laptops-win]",""
"passed","Mon May 30 00:10:08 NOVT 2022","Mon May 30 00:10:10 NOVT 2022","1731","tests","test_register_account_page","TestRegisterAccountPage","","","test_submit_form_duplicate_data",""
"passed","Mon May 30 00:09:31 NOVT 2022","Mon May 30 00:09:32 NOVT 2022","230","tests","test_main_page","TestMainPage","","","test_click_on_empty_shopping_cart",""
"broken","Mon May 30 00:09:42 NOVT 2022","Mon May 30 00:09:46 NOVT 2022","4545","tests","test_main_page","TestMainPage","","","test_slideshow_next_prev_click",""
"passed","Mon May 30 00:10:20 NOVT 2022","Mon May 30 00:10:22 NOVT 2022","2278","tests","test_register_account_page","TestRegisterAccountPage","","","test_try_register_account_with_errors[email-E-Mail Address does not appear to be valid!]",""
"passed","Mon May 30 00:09:11 NOVT 2022","Mon May 30 00:09:11 NOVT 2022","166","tests","test_catalog_page","TestCatalogPage","","","test_select_show[15]",""
"passed","Mon May 30 00:09:12 NOVT 2022","Mon May 30 00:09:12 NOVT 2022","563","tests","test_catalog_page","TestCatalogPage","","","test_select_show[25]",""
